CNT,below_L2,se_below,above_L5,se_above,cycle,domain
EST,11.22,0.71,14.19,0.81,2015,MATH
FIN,13.56,0.83,11.68,0.7,2015,MATH
HKG,8.99,0.77,26.54,1.15,2015,MATH
JPN,10.69,0.81,20.35,1.26,2015,MATH
KOR,15.46,1.06,20.9,1.33,2015,MATH
MAC,6.65,0.52,21.86,0.62,2015,MATH
SGP,7.56,0.39,34.84,0.77,2015,MATH
TAP,12.73,0.73,28.14,1.25,2015,MATH
USA,29.38,1.44,5.91,0.7,2015,MATH
EST,10.64,0.72,11.02,0.65,2015,READ
FIN,11.09,0.75,13.72,0.72,2015,READ
HKG,9.29,0.76,11.56,0.86,2015,READ
JPN,12.88,0.98,10.79,0.9,2015,READ
KOR,13.66,0.98,12.65,0.96,2015,READ
MAC,11.67,0.45,6.66,0.55,2015,READ
SGP,11.15,0.52,18.36,0.7,2015,READ
TAP,17.21,0.82,6.94,0.77,2015,READ
USA,18.99,1.14,9.59,0.74,2015,READ
EST,8.78,0.65,13.54,0.73,2015,SCIE
FIN,11.45,0.69,14.32,0.65,2015,SCIE
HKG,9.41,0.75,7.36,0.65,2015,SCIE
JPN,9.61,0.7,15.31,1.04,2015,SCIE
KOR,14.38,0.91,10.6,0.8,2015,SCIE
MAC,8.06,0.41,9.18,0.48,2015,SCIE
SGP,9.6,0.4,24.18,0.6,2015,SCIE
TAP,12.43,0.79,15.38,1.08,2015,SCIE
USA,20.31,1.07,8.52,0.64,2015,SCIE
EST,10.22,0.64,15.49,0.77,2018,MATH
FIN,14.98,0.74,11.13,0.62,2018,MATH
HKG,9.17,0.8,28.96,1.08,2018,MATH
JPN,11.45,0.76,18.34,1.06,2018,MATH
KOR,15,0.9,21.38,1.11,2018,MATH
MAC,5,0.49,27.65,0.83,2018,MATH
SGP,7.13,0.4,36.95,0.84,2018,MATH
TAP,13.98,0.75,23.19,1.13,2018,MATH
USA,27.11,1.38,8.26,0.8,2018,MATH
EST,11.05,0.59,13.86,0.7,2018,READ
FIN,13.54,0.71,14.23,0.72,2018,READ
HKG,12.6,0.76,14.81,0.73,2018,READ
JPN,16.78,0.96,10.25,0.72,2018,READ
KOR,15.11,0.91,13.12,0.87,2018,READ
MAC,10.8,0.53,13.77,0.64,2018,READ
SGP,11.25,0.48,25.82,0.69,2018,READ
TAP,17.81,0.81,10.91,0.81,2018,READ
USA,19.27,1.11,13.54,0.86,2018,READ
EST,8.76,0.61,12.2,0.55,2018,SCIE
FIN,12.89,0.71,12.27,0.68,2018,SCIE
HKG,11.56,0.76,7.83,0.69,2018,SCIE
JPN,10.84,0.77,13.05,0.87,2018,SCIE
KOR,14.17,0.83,11.79,0.82,2018,SCIE
MAC,6,0.55,13.64,0.55,2018,SCIE
SGP,9.04,0.45,20.75,0.6,2018,SCIE
TAP,15.15,0.78,11.67,0.88,2018,SCIE
USA,18.64,1.16,9.13,0.74,2018,SCIE
EST,14.97,0.7,13.09,0.71,2022,MATH
FIN,24.86,0.77,8.55,0.5,2022,MATH
HKG,13.84,0.93,27.23,1.05,2022,MATH
JPN,11.96,0.99,22.99,1.18,2022,MATH
KOR,16.21,1.22,22.9,1.35,2022,MATH
MAC,8.45,0.49,28.56,0.78,2022,MATH
SGP,8.03,0.4,40.52,0.71,2022,MATH
TAP,14.61,0.9,31.73,1.44,2022,MATH
USA,33.93,1.7,7.34,0.89,2022,MATH
EST,13.8,0.8,10.6,0.64,2022,READ
FIN,21.43,0.8,8.77,0.58,2022,READ
HKG,17.46,0.93,9.04,0.64,2022,READ
JPN,13.75,1.02,12.35,0.87,2022,READ
KOR,14.68,1.1,13.32,0.97,2022,READ
MAC,12.65,0.57,8.92,0.53,2022,READ
SGP,11.17,0.57,22.6,0.7,2022,READ
TAP,15.8,0.96,14.01,1.01,2022,READ
USA,20.13,1.25,14.24,1.13,2022,READ
EST,10.12,0.64,11.57,0.73,2022,SCIE
FIN,17.96,0.77,12.69,0.64,2022,SCIE
HKG,12.84,0.91,10.68,0.71,2022,SCIE
JPN,8.03,0.71,17.99,1.02,2022,SCIE
KOR,13.71,1.07,15.68,1.06,2022,SCIE
MAC,7.44,0.45,14.72,0.71,2022,SCIE
SGP,7.79,0.44,24.43,0.57,2022,SCIE
TAP,12.08,0.79,17.78,1.18,2022,SCIE
USA,21.91,1.33,11,1,2022,SCIE
