CNT,domain,from,to,m1,m2,diff,link_error,se_naive,p_naive,se_correct,p_correct,結論差異
EST,MATH,2015,2022,519.5,509.9,-9.6,2.74,2.85,8e-04,3.95,0.0153,""
FIN,MATH,2015,2022,511.1,484.1,-26.9,2.74,2.96,0,4.04,0,""
HKG,MATH,2015,2022,547.9,540.4,-7.6,2.74,4.22,0.0725,5.03,0.132,""
JPN,MATH,2015,2022,532.4,535.6,3.1,2.74,4.2,0.4544,5.01,0.531,""
KOR,MATH,2015,2022,524.1,527.3,3.2,2.74,5.36,0.5508,6.02,0.5953,""
MAC,MATH,2015,2022,543.8,551.9,8.1,2.74,1.56,0,3.15,0.0101,""
SGP,MATH,2015,2022,564.2,574.7,10.5,2.74,1.92,0,3.34,0.0017,""
TAP,MATH,2015,2022,542.3,547.1,4.8,2.74,4.84,0.3244,5.56,0.391,""
USA,MATH,2015,2022,469.6,464.9,-4.7,2.74,5.11,0.3533,5.8,0.4134,""
EST,MATH,2018,2022,523.4,509.9,-13.5,2.24,2.64,0,3.46,1e-04,""
FIN,MATH,2018,2022,507.3,484.1,-23.2,2.24,2.71,0,3.51,0,""
HKG,MATH,2018,2022,551.2,540.4,-10.8,2.24,4.23,0.0107,4.79,0.024,""
JPN,MATH,2018,2022,527,535.6,8.6,2.24,3.84,0.0249,4.44,0.0527,★ 忽略連結誤差會下錯結論
KOR,MATH,2018,2022,525.9,527.3,1.4,2.24,4.97,0.7827,5.45,0.8015,""
MAC,MATH,2018,2022,557.7,551.9,-5.7,2.24,1.89,0.0023,2.93,0.0498,""
SGP,MATH,2018,2022,569,574.7,5.7,2.24,2.02,0.0052,3.02,0.0609,★ 忽略連結誤差會下錯結論
TAP,MATH,2018,2022,531.1,547.1,16,2.24,4.76,8e-04,5.26,0.0024,""
USA,MATH,2018,2022,478.2,464.9,-13.4,2.24,5.15,0.0095,5.62,0.0174,""
EST,READ,2015,2022,519.1,511,-8.1,3.63,3.24,0.0123,4.86,0.0954,★ 忽略連結誤差會下錯結論
FIN,READ,2015,2022,526.4,490.2,-36.2,3.63,3.4,0,4.97,0,""
HKG,READ,2015,2022,526.7,499.7,-27,3.63,3.92,0,5.34,0,""
JPN,READ,2015,2022,516,515.9,-0.1,3.63,4.51,0.9816,5.79,0.9857,""
KOR,READ,2015,2022,517.4,515.4,-2,3.63,5.05,0.6888,6.22,0.7451,""
MAC,READ,2015,2022,508.7,510.4,1.7,3.63,1.84,0.3507,4.07,0.6734,""
SGP,READ,2015,2022,535.1,542.6,7.5,3.63,2.49,0.0027,4.4,0.0902,★ 忽略連結誤差會下錯結論
TAP,READ,2015,2022,497.1,515.2,18.1,3.63,4.1,0,5.48,0.001,""
USA,READ,2015,2022,496.9,503.9,7,3.63,5.51,0.2035,6.6,0.2884,""
EST,READ,2018,2022,523,511,-12,1.47,2.99,1e-04,3.34,3e-04,""
FIN,READ,2018,2022,520.1,490.2,-29.9,1.47,3.23,0,3.55,0,""
HKG,READ,2018,2022,524.3,499.7,-24.6,1.47,3.95,0,4.21,0,""
JPN,READ,2018,2022,503.9,515.9,12,1.47,4.15,0.0038,4.4,0.0064,""
KOR,READ,2018,2022,514.1,515.4,1.4,1.47,4.67,0.7705,4.9,0.7808,""
MAC,READ,2018,2022,525.1,510.4,-14.7,1.47,1.82,0,2.34,0,""
SGP,READ,2018,2022,549.5,542.6,-6.9,1.47,2.45,0.0049,2.86,0.0157,""
TAP,READ,2018,2022,502.6,515.2,12.6,1.47,4.32,0.0036,4.56,0.0058,""
USA,READ,2018,2022,505.4,503.9,-1.4,1.47,5.61,0.8008,5.8,0.8072,""
EST,SCIE,2015,2022,534.2,525.8,-8.4,1.38,2.94,0.0044,3.25,0.0099,""
FIN,SCIE,2015,2022,530.7,511,-19.7,1.38,3.46,0,3.73,0,""
HKG,SCIE,2015,2022,523.3,520.4,-2.9,1.38,3.78,0.4495,4.02,0.4774,""
JPN,SCIE,2015,2022,538.4,546.6,8.2,1.38,4.08,0.0435,4.31,0.0558,★ 忽略連結誤差會下錯結論
KOR,SCIE,2015,2022,515.8,527.8,12,1.38,4.76,0.0115,4.95,0.0153,""
MAC,SCIE,2015,2022,528.5,543.1,14.5,1.38,1.54,0,2.07,0,""
SGP,SCIE,2015,2022,555.6,561.4,5.9,1.38,1.79,0.001,2.26,0.0095,""
TAP,SCIE,2015,2022,532.3,537.4,5,1.38,4.27,0.2384,4.49,0.2619,""
USA,SCIE,2015,2022,496.2,499.4,3.2,1.38,5.36,0.5543,5.54,0.5669,""
EST,SCIE,2018,2022,530.1,525.8,-4.3,1.61,2.8,0.1244,3.23,0.183,""
FIN,SCIE,2018,2022,521.9,511,-10.9,1.61,3.54,0.002,3.89,0.005,""
HKG,SCIE,2018,2022,516.7,520.4,3.7,1.61,3.78,0.3231,4.11,0.3633,""
JPN,SCIE,2018,2022,529.1,546.6,17.5,1.61,3.82,0,4.14,0,""
KOR,SCIE,2018,2022,519,527.8,8.8,1.61,4.55,0.0525,4.82,0.0676,""
MAC,SCIE,2018,2022,543.6,543.1,-0.5,1.61,1.83,0.7897,2.44,0.8411,""
SGP,SCIE,2018,2022,550.9,561.4,10.5,1.61,1.99,0,2.56,0,""
TAP,SCIE,2018,2022,515.7,537.4,21.6,1.61,4.39,0,4.67,0,""
USA,SCIE,2018,2022,502.4,499.4,-3,1.61,5.45,0.586,5.68,0.6015,""
