CNT,cycle,domain,mean,se,n
EST,2015,MATH,519.529132369064,2.04255432832967,5587
FIN,2015,MATH,511.076852990958,2.30925183614606,5882
HKG,2015,MATH,547.931049365613,2.98001193677832,5359
JPN,2015,MATH,532.439872203988,3.00001481042076,6647
KOR,2015,MATH,524.106216282812,3.71233368619962,5581
MAC,2015,MATH,543.807775774636,1.10769727490879,4476
SGP,2015,MATH,564.189678565441,1.46626829888303,6115
TAP,2015,MATH,542.321466968292,3.03044106605117,7708
USA,2015,MATH,469.628491921765,3.16639491539575,5712
EST,2015,READ,519.142854980781,2.21768834700302,5587
FIN,2015,READ,526.424747111544,2.54657652709764,5882
HKG,2015,READ,526.675339997602,2.68850874903394,5359
JPN,2015,READ,515.958479919372,3.19721085595729,6647
KOR,2015,READ,517.436709627979,3.50472354123711,5581
MAC,2015,READ,508.690518547291,1.25069397129502,4476
SGP,2015,READ,535.100154361843,1.6349665650391,6115
TAP,2015,READ,497.099092038263,2.49673716681598,7708
USA,2015,READ,496.935097363065,3.40747712664882,5712
EST,2015,SCIE,534.19374210386,2.09480706742896,5587
FIN,2015,SCIE,530.661158639193,2.39236859353154,5882
HKG,2015,SCIE,523.277447757447,2.54722796699054,5359
JPN,2015,SCIE,538.394751024676,2.96617876733983,6647
KOR,2015,SCIE,515.809911335923,3.13184201928978,5581
MAC,2015,SCIE,528.549600188703,1.06440487556513,4476
SGP,2015,SCIE,555.574679942784,1.19601800932599,6115
TAP,2015,SCIE,532.347454577056,2.69155959987177,7708
USA,2015,SCIE,496.242434354063,3.18120085894118,5712
EST,2018,MATH,523.414580134919,1.7436021744651,5316
FIN,2018,MATH,507.30136181814,1.96792042265099,5649
HKG,2018,MATH,551.154274127098,2.99513682356139,6037
JPN,2018,MATH,526.97325049697,2.4714753589937,6109
KOR,2018,MATH,525.933001858883,3.12139427833824,6650
MAC,2018,MATH,557.670230369385,1.53493304432526,3775
SGP,2018,MATH,569.007779801712,1.60296420594835,6676
TAP,2018,MATH,531.143536453056,2.89143940566697,7243
USA,2018,MATH,478.244717377202,3.23544407762294,4838
EST,2018,READ,523.017018425264,1.84224221276241,5316
FIN,2018,READ,520.078748316684,2.3071019944855,5649
HKG,2018,READ,524.283117151948,2.73170942572294,6037
JPN,2018,READ,503.856041309174,2.67097345749491,6109
KOR,2018,READ,514.05228795826,2.94054299515096,6650
MAC,2018,READ,525.116168948225,1.22714686034928,3775
SGP,2018,READ,549.464707794462,1.58721426200149,6676
TAP,2018,READ,502.601146902421,2.83841872512839,7243
USA,2018,READ,505.352771050065,3.56867319067388,4838
EST,2018,SCIE,530.108004621742,1.88456905082932,5316
FIN,2018,SCIE,521.884563143535,2.50951518917841,5649
HKG,2018,SCIE,516.686129547219,2.5430957774285,6037
JPN,2018,SCIE,529.13543377081,2.59316792690731,6109
KOR,2018,SCIE,519.007254581195,2.80276160897784,6650
MAC,2018,SCIE,543.585733723951,1.45779611661888,3775
SGP,2018,SCIE,550.936899986808,1.48347381137152,6676
TAP,2018,SCIE,515.748027748571,2.87386398498004,7243
USA,2018,SCIE,502.380032000918,3.31792003780118,4838
EST,2022,MATH,509.946953224758,1.98447488241133,6392
FIN,2022,MATH,484.139225637771,1.85715595200941,10239
HKG,2022,MATH,540.351801228693,2.98753901283006,5907
JPN,2022,MATH,535.579305995714,2.93382777794092,5760
KOR,2022,MATH,527.302501780454,3.86280923425116,6454
MAC,2022,MATH,551.92315306462,1.0980572156831,4384
SGP,2022,MATH,574.663819593219,1.23281921579392,6606
TAP,2022,MATH,547.094164388603,3.77762609840244,5857
USA,2022,MATH,464.888043012121,4.00672309404615,4552
EST,2022,READ,511.030331643924,2.36061768885064,6392
FIN,2022,READ,490.21768481354,2.25542118209452,10239
HKG,2022,READ,499.701340915305,2.8484780551972,5907
JPN,2022,READ,515.854613750257,3.17689975190321,5760
KOR,2022,READ,515.415392100992,3.63230985249036,6454
MAC,2022,READ,510.405121940141,1.34600165781299,4384
SGP,2022,READ,542.553322217475,1.87218808270943,6606
TAP,2022,READ,515.167290109215,3.25125840864236,5857
USA,2022,READ,503.93757365705,4.32621629291689,4552
EST,2022,SCIE,525.811778494361,2.06543074491591,6392
FIN,2022,SCIE,510.958850529096,2.50077968417685,10239
HKG,2022,SCIE,520.41867949978,2.79284686288561,5907
JPN,2022,SCIE,546.634453550056,2.80399620150001,5760
KOR,2022,SCIE,527.822418270808,3.5796167339293,6454
MAC,2022,SCIE,543.096281193195,1.11439590974631,4384
SGP,2022,SCIE,561.433274917299,1.32732015083454,6606
TAP,2022,SCIE,537.380381047778,3.31313965274396,5857
USA,2022,SCIE,499.414064063509,4.31855711778619,4552
